x,y,label
2890.809210526316,6370.552631578948,cardiac muscle myoblast
3034.0125,2380.020833333333,cardiac endothelial cell
8411.935672514619,6771.754385964912,fibroblast of cardiac tissue
2253.6649214659687,7479.397905759162,cardiac muscle myoblast
7564.316,4147.332,fibroblast of cardiac tissue
6744.1369509043925,4325.085271317829,fibroblast of cardiac tissue
5556.045112781955,3421.1353383458645,fibroblast of cardiac tissue
8512.420689655173,6695.627586206897,fibroblast of cardiac tissue
2769.8882352941177,7292.358823529412,cardiac muscle myoblast
3594.3487394957983,3444.8865546218485,cardiac muscle myoblast
8523.12987012987,3197.448051948052,cardiac muscle myoblast
8435.984042553191,5801.946808510638,fibroblast of cardiac tissue
3935.9185185185183,5777.65925925926,fibroblast of cardiac tissue
4119.277777777777,1517.6538461538462,immature innate lymphoid cell
7771.469512195122,2298.256097560976,fibroblast of cardiac tissue
2748.456989247312,2277.5860215053763,cardiac endothelial cell
3707.938888888889,6888.127777777778,fibroblast of cardiac tissue
6019.158192090396,1246.0169491525423,cardiac endothelial cell
3471.682634730539,4936.634730538922,fibroblast of cardiac tissue
4494.603143418468,2603.0707269155205,cardiac muscle myoblast
4053.68045112782,5786.413533834587,cardiac muscle myoblast
